ID,BUILDING,ADDRESS 1,TOWN,ZIP,TEL,STORE,PHOTO,PHARMACY,ADVOCATE CLINIC,OPTICIAL,HEARING,Lab Services
53,,1601 N WELLS ST,CHICAGO,IL 60614,312-642-4008,1,1,1,1,,,
54,,2500 N CLARK ST,CHICAGO,IL 60614,773-929-7488,1,1,1,,,,
55,,740 W DIVERSEY PKWY,CHICAGO,IL 60614,773-929-1097,1,1,1,,,,
56,,834 W ARMITAGE AVE,CHICAGO,IL 60614,773-687-0709,1,1,1,,,,
57,,1554 E 55TH ST,CHICAGO,IL 60615,773-667-1177,1,1,1,1,1,,
58,,5036 S COTTAGE GROVE AVE,CHICAGO,IL 60615,773-373-6266,1,1,1,,,,
59,,316 W CERMAK RD,CHICAGO,IL 60616,312-791-0392,1,1,1,,,,
60,,3405 S KING DR,CHICAGO,IL 60616,312-326-4058,1,1,1,1,,,
61,,2301 W IRVING PARK RD,CHICAGO,IL 60618,773-267-8410,1,1,1,,,,
62,,3153 W IRVING PARK RD,CHICAGO,IL 60618,773-588-9196,1,1,1,,,,
63,,3222 N MILWAUKEE AVE,CHICAGO,IL 60618,773-481-5876,1,1,1,,,,
64,,3358 N WESTERN AVE,CHICAGO,IL 60618,773-327-2111,1,1,1,,,,
65,,3424 W BELMONT AVE,CHICAGO,IL 60618,773-267-2328,1,1,1,,,,
66,,4343 N KEDZIE AVE,CHICAGO,IL 60618,773-604-4419,1,1,1,,,,
67,,650 W 63RD ST,CHICAGO,IL 60621,773-994-4467,1,1,1,,,,
68,,1372 N MILWAUKEE AVE,CHICAGO,IL 60622,773-772-0941,1,1,1,,,,
69,,1650 W CHICAGO AVE,CHICAGO,IL 60622,312-829-6186,1,1,1,,,,
70,,3045 W 26TH ST,CHICAGO,IL 60623,773-254-3316,1,1,1,,,,
71,Walgreens Pharmacy at ACCESS Servicios Medicos La Villita,3303 W 26TH ST,CHICAGO,IL 60623,773-521-1718,,,1,,,,
72,,4005 W 26TH ST,CHICAGO,IL 60623,773-521-9504,1,1,1,,,,
73,,3401 W ROOSEVELT RD,CHICAGO,IL 60624,773-542-1232,1,1,1,,,,
74,Walgreens Pharmacy at ACCESS Madison Family Health Center,3800 W MADISON ST,CHICAGO,IL 60624,773-826-1817,,,1,,,,
75,,4801 N LINCOLN AVE,CHICAGO,IL 60625,773-561-2526,1,1,1,,,,
76,,5158 N LINCOLN AVE,CHICAGO,IL 60625,773-907-8490,1,1,1,,,,
77,Howard Brown Health System Pharmacy,6500 N CLARK ST,CHICAGO,IL 60626,773-681-5033,,,1,,,,
78,,7410 N CLARK ST,CHICAGO,IL 60626,773-743-6784,1,1,1,,,,
79,,4000 W 59TH ST,CHICAGO,IL 60629,773-581-2345,1,1,1,,,,
80,,6315 S KEDZIE AVE,CHICAGO,IL 60629,773-776-4040,1,1,1,,,,
81,,4010 W LAWRENCE AVE,CHICAGO,IL 60630,773-286-0309,1,1,1,,,,
82,,5230 N MILWAUKEE AVE,CHICAGO,IL 60630,773-736-8920,1,1,1,,,,
83,,5753 N CANFIELD AVE,CHICAGO,IL 60631,773-631-2851,1,1,1,,,,
84,,3943 W 47TH ST,CHICAGO,IL 60632,773-927-0523,1,1,1,,,,
85,,4385 S ARCHER AVE,CHICAGO,IL 60632,773-247-6804,1,1,1,,,,
86,,5435 S KEDZIE AVE,CHICAGO,IL 60632,773-436-7396,1,1,1,,,,
87,,4343 N CENTRAL AVE,CHICAGO,IL 60634,773-427-9456,1,1,1,,,,
88,,5650 W BELMONT AVE,CHICAGO,IL 60634,773-777-4611,1,1,1,,,,
89,,5935 W ADDISON ST,CHICAGO,IL 60634,773-282-1594,1,1,1,,,,
90,,6809 W BELMONT AVE,CHICAGO,IL 60634,773-237-6273,1,1,1,,,,
91,,1533 E 67TH ST,CHICAGO,IL 60637,773-493-0733,1,1,1,,,,
92,,1627 N PULASKI RD,CHICAGO,IL 60639,773-772-5432,1,1,1,,,,
93,,4748 W NORTH AVE,CHICAGO,IL 60639,773-745-6642,1,1,1,,,,
94,,4817 W FULLERTON AVE,CHICAGO,IL 60639,773-889-7411,1,1,1,,,,
95,,5140 W DIVERSEY AVE,CHICAGO,IL 60639,773-685-8759,1,1,1,,,,
96,,5600 W FULLERTON AVE,CHICAGO,IL 60639,773-745-1640,1,1,1,1,,,
97,,1500 W WILSON AVE,CHICAGO,IL 60640,773-907-8995,1,1,1,,,,
98,,4720 N MARINE DR,CHICAGO,IL 60640,773-769-1315,1,1,1,,,,
99,,5440 N CLARK ST,CHICAGO,IL 60640,773-596-5022,1,1,1,,,,
100,,4001 W IRVING PARK RD,CHICAGO,IL 60641,773-685-3527,1,1,1,,,,
101,,4040 N CICERO AVE,CHICAGO,IL 60641,773-283-5321,1,1,1,,,,
102,,4745 W BELMONT AVE,CHICAGO,IL 60641,773-481-0211,1,1,1,,,,
103,,5222 W MADISON ST,CHICAGO,IL 60644,773-287-0380,1,1,1,,,,
104,,7510 N WESTERN AVE,CHICAGO,IL 60645,773-764-1765,1,1,1,1,,,
105,,6310 N NAGLE AVE,CHICAGO,IL 60646,773-774-2225,1,1,1,,,,
106,,1601 N MILWAUKEE AVE,CHICAGO,IL 60647,773-342-9161,1,1,1,1,,,
107,,2001 N MILWAUKEE AVE,CHICAGO,IL 60647,773-772-2370,1,1,1,,,,
108,,2440 W NORTH AVE,CHICAGO,IL 60647,773-489-5607,1,1,1,,,,
109,,2744 N CALIFORNIA AVE,CHICAGO,IL 60647,773-342-2818,1,1,1,,,,
110,,3110 W ARMITAGE AVE,CHICAGO,IL 60647,773-235-6758,1,1,1,,,,
111,,3320 W FULLERTON AVE,CHICAGO,IL 60647,773-252-8346,1,1,1,,,,
112,,1546 N CENTRAL AVE,CHICAGO,IL 60651,773-622-8185,1,1,1,,,,
113,,1320 E 47TH ST,CHICAGO,IL 60653,773-373-6147,1,1,1,,,,
114,,315 W CHICAGO AVE,CHICAGO,IL 60654,312-280-1599,1,1,1,,,,
115,,641 N CLARK ST,CHICAGO,IL 60654,312-587-1416,1,1,1,,,,
116,,7155 W FOSTER PL,CHICAGO,IL 60656,773-631-3927,1,1,1,,,,
117,Walgreens Pharmacy at NMPG-Lakeview,1333 W BELMONT AVE,CHICAGO,IL 60657,773-549-9485,,,1,,,,
118,,1649 W BELMONT AVE,CHICAGO,IL 60657,773-281-8439,1,1,1,,,,
119,Walgreens Pharmacy at Northstar Health Care,2835 N SHEFFIELD AVE,CHICAGO,IL 60657,773-348-3574,,,1,,,,
120,,3046 N HALSTED ST,CHICAGO,IL 60657,773-325-0413,1,1,1,,,,
121,,3201 N BROADWAY ST,CHICAGO,IL 60657,773-327-3591,1,1,1,,,,
122,Walgreens Pharmacy at Aris Health by Howard Brown,3245 N HALSTED ST,CHICAGO,IL 60657,773-248-3160,,,1,,,,
123,Health System Pharmacy,331 W SURF ST,CHICAGO,IL 60657,773-799-9839,,,1,,,,
124,Community Pharmacy,912 W BELMONT AVE,CHICAGO,IL 60657,773-665-8990,,,1,,,,
125,,3019 W PETERSON AVE,CHICAGO,IL 60659,773-728-6254,1,1,1,,,,
126,,6140 N WESTERN AVE,CHICAGO,IL 60659,773-764-0050,1,1,1,,,,
127,,5625 N RIDGE AVE,CHICAGO,IL 60660,773-989-7546,1,1,1,1,,,
128,,6121 N BROADWAY ST,CHICAGO,IL 60660,773-764-8961,1,1,1,,,,
129,,111 S HALSTED ST,CHICAGO,IL 60661,312-463-9142,1,1,1,,,,
130,Health System Pharmacy,3040 S CICERO AVE,CICERO,IL 60804,708-391-2118,,,1,,,,
131,,4800 W CERMAK RD,CICERO,IL 60804,708-863-7734,1,1,1,,,,
132,,5840 W 35TH ST,CICERO,IL 60804,708-780-7513,1,1,1,,,,
133,,5932 W CERMAK RD,CICERO,IL 60804,708-652-4856,1,1,1,,,,
134,,780 WAUKEGAN RD,DEERFIELD,IL 60015,847-945-0611,1,1,1,,1,1,1
135,Walgreens Pharmacy at ACCESS Comm Health Ctr-Des Plaines,1 N BROADWAY ST,DES PLAINES,IL 60016,847-827-7556,,,1,,,,
136,,1378 MINER ST,DES PLAINES,IL 60016,847-296-3958,1,1,1,,,,
137,,17 W GOLF RD,DES PLAINES,IL 60016,847-296-5145,1,1,1,,,,
138,,21 RAND RD,DES PLAINES,IL 60016,847-827-9659,1,1,1,,,,
139,,1858 E OAKTON ST,DES PLAINES,IL 60018,847-299-6611,1,1,1,,,,
140,,1000 OGDEN AVE,DOWNERS GROVE,IL 60515,630-493-1567,1,1,1,1,,,
141,,6240 BELMONT RD,DOWNERS GROVE,IL 60516,630-960-4160,1,1,1,,,,
142,,641 MEACHAM RD,ELK GROVE VILLAGE,IL 60007,847-352-4061,1,1,1,,,,
143,,930 ELK GROVE TOWN CTR,ELK GROVE VILLAGE,IL 60007,847-439-4710,1,1,1,1,,,
144,Walgreens Pharmacy at Elmhurst Memorial Hospital,155 E BRUSH HILL RD,ELMHURST,IL 60126,630-833-3724,,,1,,,,
145,,160 N ROBERT T PALMER DR,ELMHURST,IL 60126,630-782-1703,1,1,1,,,,
146,,2828 N HARLEM AVE,ELMWOOD PARK,IL 60707,708-583-0170,1,1,1,,,,
147,,7200 W NORTH AVE,ELMWOOD PARK,IL 60707,708-456-8810,1,1,1,,,,
148,,2100 GREEN BAY RD,EVANSTON,IL 60201,847-475-0996,1,1,1,,,,
149,,635 CHICAGO AVE,EVANSTON,IL 60202,847-864-8120,1,1,1,,,,
150,,900 DODGE AVE,EVANSTON,IL 60202,847-475-7287,1,1,1,,,,
151,,7200 ROOSEVELT RD,FOREST PARK,IL 60130,708-366-9534,1,1,1,,,,
152,,9595 GRAND AVE,FRANKLIN PARK,IL 60131,847-455-6876,1,1,1,,,,
153,,324 ROOSEVELT RD,GLEN ELLYN,IL 60137,630-858-2930,1,1,1,1,1,,
154,,840 N MAIN ST,GLEN ELLYN,IL 60137,630-790-2087,1,1,1,,,,
155,,353 PARK AVE,GLENCOE,IL 60022,847-835-0387,1,,1,,,,
156,,2040 GLEN ELLYN RD,GLENDALE HTS,IL 60139,630-539-6597,1,1,1,,,,
157,,1403 WAUKEGAN RD,GLENVIEW,IL 60025,847-998-1442,1,1,1,,,,
158,,2690 GOLF RD,GLENVIEW,IL 60025,847-657-9863,1,1,1,,,,
159,,3301 GLENVIEW RD,GLENVIEW,IL 60025,847-724-0759,1,1,1,,,,
160,,4339 DI PAOLO CTR,GLENVIEW,IL 60025,847-299-1920,,,1,,,,
161,,2871 PFINGSTEN RD,GLENVIEW,IL 60026,847-559-9227,1,1,1,,,,
162,,2040 ARMY TRAIL RD,HANOVER PARK,IL 60133,630-830-6558,1,1,1,,,,
163,,5500 COUNTY FARM RD,HANOVER PARK,IL 60133,630-213-1809,1,1,1,1,,,
164,,7350 BARRINGTON RD,HANOVER PARK,IL 60133,630-289-4143,1,1,1,,,,
165,,632 ROGER WILLIAMS AVE,HIGHLAND PARK,IL 60035,847-432-8170,1,1,1,,,,
166,,655 ELM PL,HIGHLAND PARK,IL 60035,847-266-8520,1,1,1,,,,
167,,320 WAUKEGAN AVE,HIGHWOOD,IL 60040,847-433-5138,1,1,1,,,,
168,,2151 S WOLF RD,HILLSIDE,IL 60162,708-562-6105,1,1,1,,,,
169,,4730 BUTTERFIELD RD,HILLSIDE,IL 60162,708-547-6316,1,1,1,,,,
170,,15 GRANT SQ,HINSDALE,IL 60521,630-323-7059,1,1,1,,,,
171,,1000 N ROSELLE RD,HOFFMAN ESTATES,IL 60169,847-882-7240,1,1,1,,,,
172,,2560 W GOLF RD,HOFFMAN ESTATES,IL 60169,847-843-0440,1,1,1,,,,
173,,1325 E IRVING PARK RD,ITASCA,IL 60143,630-875-0244,1,1,1,,,,
174,,6600 WILLOW SPRINGS RD,LA GRANGE HIGHLANDS,IL 60525,708-588-1253,1,1,1,,,,
175,,2 N LA GRANGE RD,LA GRANGE,IL 60525,708-352-3116,1,1,1,,,,
176,,12700 ROCKLAND RD,LAKE BLUFF,IL 60044,847-615-2088,1,1,1,,,,
177,Walgreens Pharmacy at Lake Forest Hospital,1000 N WESTMORELAND RD,LAKE FOREST,IL 60045,847-810-8441,,,1,,,,
178,,296 E DEERPATH,LAKE FOREST,IL 60045,847-234-2413,1,1,1,,,,
179,,1285 S RAND RD,LAKE ZURICH,IL 60047,847-438-8565,1,1,1,,,,
180,,1470 S MILWAUKEE AVE,LIBERTYVILLE,IL 60048,847-247-0682,1,1,1,,,,
181,,1770 N MILWAUKEE AVE,LIBERTYVILLE,IL 60048,847-327-9706,1,1,1,,,,
182,,225 MILWAUKEE AVE,LINCOLNSHIRE,IL 60069,847-913-1627,1,1,1,,,,
183,,6798 N LINCOLN AVE,LINCOLNWOOD,IL 60712,847-674-6350,1,1,1,,,,
184,,1010 MAPLE AVE,LISLE,IL 60532,630-353-0252,1,1,1,,,,
185,,225 E ROOSEVELT RD,LOMBARD,IL 60148,630-627-9784,1,1,1,,,,
186,,309 W SAINT CHARLES RD,LOMBARD,IL 60148,630-953-0508,1,1,1,,,,
187,,4101 1ST AVE,LYONS,IL 60534,708-447-6851,1,1,1,1,,,
188,,100 LAKE ST,MAYWOOD,IL 60153,708-344-9885,1,1,1,,,,
189,,1445 W NORTH AVE,MELROSE PARK,IL 60160,708-345-6080,1,1,1,,,,
190,,5730 DEMPSTER ST,MORTON GROVE,IL 60053,847-583-9309,1,1,1,,,,
191,,9301 WAUKEGAN RD,MORTON GROVE,IL 60053,847-965-2444,1,1,1,1,,,
192,,1028 S ELMHURST RD,MOUNT PROSPECT,IL 60056,847-437-1858,1,1,1,,,,
193,,1701 E KENSINGTON RD,MOUNT PROSPECT,IL 60056,847-635-9962,1,1,1,1,,,
194,,345 N LAKE ST,MUNDELEIN,IL 60060,847-566-6001,1,1,1,,,,
195,,701 S MIDLOTHIAN RD,MUNDELEIN,IL 60060,847-949-7198,1,1,1,,,,
196,,6S235 STEEPLE RUN DR,NAPERVILLE,IL 60540,630-717-9333,1,1,1,,,,
197,,5600 W TOUHY AVE,NILES,IL 60714,847-588-1704,1,1,1,,,,
198,,8001 N MILWAUKEE AVE,NILES,IL 60714,847-583-0409,1,1,1,,,,
199,,9000 N GREENWOOD AVE,NILES,IL 60714,847-298-3050,1,1,1,,,,
200,,4101 N HARLEM AVE,NORRIDGE,IL 60706,708-457-0606,1,1,1,,,,
201,,4820 N CUMBERLAND AVE,NORRIDGE,IL 60706,708-583-2133,1,1,1,,,,
202,,1050 WAUKEGAN RD,NORTHBROOK,IL 60062,847-272-3155,1,1,1,,,,
203,,1825 WILLOW RD,NORTHFIELD,IL 60093,847-784-8032,1,1,1,1,,,
204,,6 E NORTH AVE,NORTHLAKE,IL 60164,708-836-0348,1,1,1,,,,
205,,2205 W 22ND ST,OAK BROOK,IL 60523,630-928-0386,1,1,1,,,,
206,,811 MADISON ST,OAK PARK,IL 60302,708-383-9009,1,1,1,,,,
207,,6412 ROOSEVELT RD,OAK PARK,IL 60304,708-386-9359,1,1,1,,,,
208,,12 N NORTHWEST HWY,PALATINE,IL 60067,847-359-3624,1,1,1,,,,
209,,805 W EUCLID AVE,PALATINE,IL 60067,847-303-5642,1,1,1,,,,
210,Community Pharmacy,375 E DUNDEE RD,PALATINE,IL 60074,847-934-5741,1,1,1,1,,,
211,Walgreens Pharmacy at Advocate Lutheran General Hospital,1775 W DEMPSTER,PARK RIDGE,IL 60068,847-692-2184,,,1,,,,
212,,800 DEVON AVE,PARK RIDGE,IL 60068,847-825-7194,1,1,1,1,,,
213,,901 W TOUHY AVE,PARK RIDGE,IL 60068,847-384-0125,1,1,1,,,,
214,,1 N ELMHURST RD,PROSPECT HEIGHTS,IL 60070,847-398-4673,1,1,1,,,,
215,,7251 LAKE ST,RIVER FOREST,IL 60305,708-366-9960,1,1,1,,1,,
216,,8361 BELMONT AVE,RIVER GROVE,IL 60171,708-452-8062,1,1,1,,,,
217,,445 E MAPLE AVE,ROSELLE,IL 60172,630-893-5171,1,1,1,,,,
218,,1180 S ROSELLE RD,SCHAUMBURG,IL 60193,847-895-8646,1,1,1,,,,
219,,1461 W SCHAUMBURG RD,SCHAUMBURG,IL 60194,847-923-9183,1,1,1,,,,
220,,770 E SCHAUMBURG RD,SCHAUMBURG,IL 60194,847-884-0752,1,1,1,,,,
221,,9800 IRVING PARK RD,SCHILLER PARK,IL 60176,847-233-0576,1,1,1,,,,
222,,3945 DEMPSTER ST,SKOKIE,IL 60076,847-674-5876,1,1,1,,,,
223,,4009 OLD ORCHARD RD,SKOKIE,IL 60076,847-256-1000,1,1,1,,,,
224,,4850 OAKTON ST,SKOKIE,IL 60077,847-933-0418,1,1,1,,,,
225,,9150 SKOKIE BLVD,SKOKIE,IL 60077,847-673-8063,1,1,1,,,,
226,,13 E IRVING PARK RD,STREAMWOOD,IL 60107,630-540-5213,1,1,1,,,,
227,,261 W TOWNLINE RD,VERNON HILLS,IL 60061,847-367-4652,1,1,1,,,,
228,,10 E SAINT CHARLES RD,VILLA PARK,IL 60181,630-832-6030,1,1,1,,,,
229,,200 E ROOSEVELT RD,VILLA PARK,IL 60181,630-993-0869,1,1,1,1,1,,
230,,28W104 WARRENVILLE RD,WARRENVILLE,IL 60555,630-836-9416,1,1,1,,,,
231,,125 N NELTNOR BLVD,WEST CHICAGO,IL 60185,630-293-8951,1,1,1,,,,
232,,10345 W ROOSEVELT RD,WESTCHESTER,IL 60154,708-681-4034,1,1,1,,,,
233,,4700 GILBERT AVE,WESTERN SPRINGS,IL 60558,708-246-5120,1,1,1,,,,
234,,1 E OGDEN AVE,WESTMONT,IL 60559,630-437-5137,1,1,1,1,,,
235,,8 W 63RD ST,WESTMONT,IL 60559,630-852-9390,1,1,1,,,,
236,,1601 N MAIN ST,WHEATON,IL 60187,630-653-6940,1,1,1,,,,
237,,2191 W ROOSEVELT RD,WHEATON,IL 60187,630-668-3359,1,1,1,,,,
238,,2020 S NAPERVILLE RD,WHEATON,IL 60189,630-682-2582,1,1,1,,,,
239,,10 N MILWAUKEE AVE,WHEELING,IL 60090,847-215-8346,1,1,1,1,,,
240,,1199 W DUNDEE RD,WHEELING,IL 60090,847-465-8682,1,1,1,,,,
241,,501 PLAINFIELD RD,WILLOWBROOK,IL 60527,630-789-1797,1,1,1,,,,
242,,3232 LAKE AVE,WILMETTE,IL 60091,847-251-1413,1,1,1,,,,
243,,811 GREEN BAY RD,WILMETTE,IL 60091,847-256-0881,1,1,1,,,,
244,,27W171 GENEVA RD,WINFIELD,IL 60190,630-681-8482,1,1,1,,,,
245,,925 GREEN BAY RD,WINNETKA,IL 60093,847-835-8417,1,1,1,,,,
