Postcode area,Area covered,Population,Households,Postcodes,Active postcodes,Non-geographic postcodes
L,Liverpool,"856,675","370,680","43,187","20,423",0
LA,Lancaster,"328,926","143,213","14,669","11,809",0
LD,Llandrindod Wells,"50,225","22,291","2,648","2,203",0
LE,Leicester,"985,352","391,460","34,472","22,421",0
LL,Llandudno,"537,252","232,655","24,278","20,120",0
LN,Lincoln,"293,141","126,372","11,918","9,199",3
LS,Leeds,"774,677","330,676","31,756","21,539",0
LU,Luton,"336,095","129,149","10,335","6,208",0
M,Manchester,"1,167,414","492,884","58,558","31,648",0
ME,Rochester,"606,891","245,786","22,079","16,318",0
MK,Milton Keynes,"508,035","202,926","22,723","15,410",0
ML,Motherwell,"382,997","168,005","11,706","9,654",0
N,North London,"847,197","344,938","29,248","17,439",106
NE,Newcastle upon Tyne,"1,162,976","510,229","45,018","33,123",1
NG,Nottingham,"1,163,617","493,228","37,141","28,757",0
NN,Northampton,"653,055","272,356","24,863","16,266",0
NP,Newport,"488,569","206,539","27,961","13,699",0
NR,Norwich,"722,618","315,784","28,162","23,429",0
NW,North West London,"553,732","222,208","25,517","13,868",0
OL,Oldham,"462,590","188,194","17,631","13,030",0
OX,Oxford,"613,492","242,551","34,746","19,645",0
PA,Paisley,"321,350","148,778","12,907","9,345",0
PE,Peterborough,"890,470","373,108","38,888","26,513",0
PH,Perth,"165,118","73,021","7,375","6,073",0
PL,Plymouth,"543,016","232,152","22,407","17,499",0
PO,Portsmouth,"822,540","352,453","32,755","24,018",1
PR,Preston,"520,366","219,388","19,893","13,030",0
RG,Reading,"778,419","314,408","45,568","23,132",0
RH,Redhill,"531,923","217,143","24,095","15,994",0
RM,Romford,"517,305","205,322","15,128","9,853",0
S,Sheffield,"1,358,186","578,058","49,044","33,405",2
SA,Swansea,"730,075","315,791","29,220","23,149",0
SE,South East London,"988,126","412,444","34,095","20,467",127
SG,Stevenage,"402,479","167,182","16,804","11,813",0
SK,Stockport,"603,540","260,549","24,955","16,408",0
SL,Slough,"373,407","144,554","16,609","10,572",0
SM,Sutton,"217,171","87,907","6,629","4,355",0
SN,Swindon,"458,798","191,252","21,328","14,338",0
SO,Southampton,"665,472","276,330","39,980","18,292",0
SP,Salisbury,"232,282","94,658","11,331","8,558",0
SR,Sunderland,"250,843","109,612","8,630","6,509",17
SS,Southend-on-Sea,"518,631","216,682","17,249","11,890",0
ST,Stoke-on-Trent,"644,416","275,646","22,562","17,568",0
SW,South West London,"877,183","382,790","36,348","19,877",0
SY,Shrewsbury,"341,952","144,660","17,167","14,389",0
TA,Taunton,"322,408","139,414","14,670","11,698",0
TD,Galashiels,"112,644","52,111","5,226","4,475",1
TF,Telford,"212,536","85,637","9,219","6,971",0
TN,Tonbridge,"681,747","286,228","32,469","22,573",0
TQ,Torquay,"281,112","125,365","13,130","9,966",0
TR,Truro,"294,061","127,803","15,271","12,072",0
TS,Cleveland,"602,320","256,341","22,886","17,476",0
TW,Twickenham,"491,918","193,508","20,046","11,019",0
UB,Southall,"371,413","126,879","11,497","7,103",0
W,West London,"531,690","236,493","39,926","18,576",0
WA,Warrington,"616,482","261,804","25,525","18,071",0
WC,Central London,"35,745","15,757","7,420","2,607",0
WD,Watford,"256,476","103,336","15,869","7,332",1
WF,Wakefield,"512,784","214,107","18,212","14,398",0
WN,Wigan,"309,156","131,514","9,142","7,149",0
WR,Worcester,"287,838","122,730","12,443","8,722",0
WS,Walsall,"449,728","181,669","14,825","10,092",0
WV,Wolverhampton,"396,187","162,933","14,202","10,442",78
YO,York,"562,761","242,140","34,197","18,579",0
ZE,Lerwick,"23,086","9,915",749,650,0
